Title,Price,Instock Availability
Vampire Girl (Vampire Girl #1),53.82,In stock
Three Wishes (River of Time: California #1),44.18,In stock
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,In stock
The Little Prince,45.42,In stock
The Last Girl (The Dominion Trilogy #1),36.26,In stock
Taking Shots (Assassins #1),18.88,In stock
Settling the Score (The Summer Games #1),44.91,In stock
"Rhythm, Chord & Malykhin",28.34,In stock
One Second (Seven #7),52.94,In stock
Old Records Never Die: One Man's Quest for His Vinyl and His Past,55.66,In stock
Of Mice and Men,47.11,In stock
My Perfect Mistake (Over the Top #1),38.92,In stock
Meditations,25.89,In stock
Frankenstein,38.00,In stock
Emma,32.93,In stock
